slug	lat	lng
aws-builder-loft	37.790507	-122.399158
digital-jungle	37.781698	-122.408392
dropbox	37.785106	-122.398782
lyft	37.776243	-122.391702
sentry	37.791231	-122.397149
studio-at-mission-rock	37.775434	-122.388726
cloudflare	37.781393	-122.391800
convex	37.764159	-122.402012
spacexai	37.805770	-122.411726
stripe	37.661741	-122.383852
workos	37.788700	-122.402251
2146-3rd-st	37.762462	-122.388497
3001-19th-st	37.760178	-122.412043
555-20th-st	37.760537	-122.385525
560-davis	37.798192	-122.398451
760-market-st	37.786667	-122.405050
847-howard	37.782342	-122.403722
9-claude-ln	37.789948	-122.404348
9zero-climate-hub	37.793289	-122.400737
bay-area-metro-center	37.788116	-122.391154
convene	37.786773	-122.405811
datadog	37.790511	-122.397243
eria-marina	37.800343	-122.441507
gray-area-grand-theater	37.754437	-122.418263
heath-ceramics	37.761774	-122.411253
hogpatch	37.759695	-122.388244
internet-archive	37.782289	-122.471571
love-potion-library	37.764553	-122.433404
manny-s	37.765058	-122.421716
noisebridge	37.762434	-122.418659
peacekeeper	37.789510	-122.412536
presidio-bitcoin	37.799313	-122.457248
public-works	37.768893	-122.419265
swedish-american-hall	37.766516	-122.430472
swissnex-333-golden-gate	37.781342	-122.416222
the-faight-collective	37.772064	-122.429986
the-green-room	37.779535	-122.421033
the-hibernia	37.781437	-122.412448
three-embarcadero-center	37.794666	-122.399655
tiat	37.786168	-122.408335
wefunder	37.766996	-122.419753
wework-two-embarcadero	37.794792	-122.398441
55-second-popos	37.788815	-122.400334
entrepreneurs-first	37.786979	-122.394470
insead-sf-hub	37.778555	-122.393725
mind-the-bridge	37.774494	-122.398414
111-minna	37.787466	-122.399322
135-mississippi-mbc-biolabs	37.764736	-122.394551
25-lusk	37.778408	-122.394250
953-indiana	37.758780	-122.390945
a16z	37.779248	-122.392395
bright-data-web-data-loft	37.781685	-122.391046
creative-landing-peerspace-soma-loft	37.771674	-122.409788
dna-lounge	37.771088	-122.412613
doordash	37.785378	-122.395962
foreign-cinema	37.756456	-122.419133
frontier-tower	37.782243	-122.409972
github-88-colin-p-kelly-jr	37.782177	-122.391245
github-hq	37.782309	-122.391345
hotel-via-rooftop	37.779288	-122.390638
house-of-ai	37.774498	-122.403126
humanmade	37.778168	-122.399544
joe-the-juice	37.789505	-122.394302
microsoft-reactor	37.792122	-122.403719
sf-nook	37.778065	-122.415243
sfjazz	37.776378	-122.421569
somarts	37.770814	-122.406285
standard-deviant-brewing	37.768471	-122.419476
terra-gallery	37.785542	-122.392993
the-box-sf	37.778508	-122.408571
the-commons	37.777867	-122.426567
the-lark	37.787866	-122.402841
595-pacific	37.797036	-122.405089
hotel-nikko-222-mason	37.785813	-122.409341
shack15	37.795549	-122.393475
founders-inc	37.806281	-122.428988
postman	37.793820	-122.394814
coinbase	37.772932	-122.389692
nvidia	37.772932	-122.389692
openai	37.770046	-122.388790
soma-restaurant	37.783055	-122.406669
baseten	37.798192	-122.398451
figma-phelan-building	37.786667	-122.405050
corgi-cafe	37.789948	-122.404348
pier-48	37.787936	-122.407520
salesforce-tower	37.789774	-122.396932
one-kearny-club	37.788073	-122.403618
1031-post-st	37.786715	-122.418799
20-annie-st	37.787857	-122.402739
101-california-st	37.792905	-122.398113
821-howard-st	37.782601	-122.402957
475-brannan-st	37.778611	-122.395041
501-2nd-st	37.783178	-122.392968
585-market-st	37.789487	-122.400859
600-townsend-st	37.771791	-122.402947
989-market-st	37.782265	-122.409699
201-mission-st	37.791164	-122.395041
717-market-st	37.786858	-122.403642
stak-space	37.808041	-122.268737
35-s-park-st	37.736608	-122.422310
1900-broadway	37.808102	-122.268434
the-pawn-shop	37.781081	-122.408422
natoma-cabana	37.787610	-122.398590
shelby-s-rooftop	37.782791	-122.402267
dragon-horse	37.779870	-122.403674
secret-bar-at-son-garden	37.783353	-122.419043
the-detour	37.765717	-122.431625
blackwood	37.800703	-122.438869
golden-eye-social	37.783656	-122.398400
the-bank-at-amador	37.794425	-122.402942
the-melody-of-san-francisco	37.797101	-122.411174
above-the-rim	37.767900	-122.387422
